Fortune  Rank (2018),Company Name,Ticker Symbol,Fortune Rank (2017),Revenues,Revenues change,Profits,Profit Change,Assets,Market Value,Employee Count,CEO Name,CEO Title,Sector,Industry,HQ Location,Website URL,Years on Fortune List,Fortune URL
434,Asbury Automotive Group,ABG,410,"$6,457",-1.1%,$139.1,-16.8%,"$2,357","$1,412","8,000",David W. Hult,"President, Chief Executive Officer & Director",Retailing,"Automotive Retailing, Services","Duluth, Ga.",http://www.asburyauto.com,12,http://fortune.com/fortune500/asbury-automotive-group/
435,Citizens Financial Group,CFG,451,"$6,454",12.0%,"$1,652.0",58.1%,"$152,336","$20,474","17,594",Bruce W. Van Saun,"Chairman, President & Chief Executive Officer",Financials,Commercial Banks,"Providence, R.I.",http://www.citizensbank.com,3,http://fortune.com/fortune500/citizens-financial-group/
436,Packaging Corp. of America,PKG,450,"$6,445",11.5%,$668.6,48.7%,"$6,198","$10,633","14,600",Mark W. Kowlzan,Chairman & Chief Executive Officer,Materials,"Packaging, Containers","Lake Forest, Ill.",http://www.packagingcorp.com,4,http://fortune.com/fortune500/packaging-corp-of-america/
437,Alleghany,Y,428,"$6,425",4.8%,$90.1,-80.3%,"$25,384","$9,460","4,402",Weston M. Hicks,"President, Chief Executive Officer & Director",Financials,Insurance: Property and Casualty (Stock),New York City,http://www.alleghany.com,4,http://fortune.com/fortune500/alleghany/
438,Apache,APA,488,"$6,423",20.0%,"$1,304.0",,"$21,922","$14,678","3,356",John J. Christmann IV,"President, Chief Executive Officer & Director",Energy,"Mining, Crude-Oil Production",Houston,http://www.apachecorp.com,15,http://fortune.com/fortune500/apache/
439,Dillard’s,DDS,417,"$6,423",0.1%,$221.3,30.8%,"$3,673","$2,289","31,400",William T. Dillard II,Chairman & Chief Executive Officer,Retailing,General Merchandisers,"Little Rock, Ark.",http://www.dillards.com,24,http://fortune.com/fortune500/dillards/
440,Assurant,AIZ,361,"$6,415",-14.8%,$519.6,-8.1%,"$31,843","$4,803","14,175",Alan B. Colberg,"President, Chief Executive Officer & Director",Financials,Insurance: Property and Casualty (Stock),New York City,http://www.assurant.com,14,http://fortune.com/fortune500/assurant/
441,Franklin Resources,BEN,405,"$6,392",-3.4%,"$1,696.7",-1.7%,"$17,534","$19,133","9,386",Gregory E. Johnson,Chairman & Chief Executive Officer,Financials,Securities,"San Mateo, Calif.",http://www.franklinresources.com,13,http://fortune.com/fortune500/franklin-resources/
442,Owens Corning,OC,458,"$6,384",12.5%,$289.0,-26.5%,"$8,632","$8,982","17,000",Michael H. Thaman,"Chairman, President & Chief Executive Officer",Materials,"Building Materials, Glass","Toledo, Ohio",http://www.owenscorning.com,24,http://fortune.com/fortune500/owens-corning/
443,Motorola Solutions,MSI,433,"$6,380",5.7%,$-155.0,-127.7%,"$8,208","$17,027","15,000",Gregory Q. Brown,Chairman & Chief Executive Officer,Technology,Network and Other Communications Equipment,Chicago,http://www.motorolasolutions.com,24,http://fortune.com/fortune500/motorola-solutions/
444,NVR,NVR,446,"$6,322",8.4%,$537.5,26.4%,"$2,989","$10,262","5,200",Paul C. Saville,"President, Chief Executive Officer & Director",Engineering & Construction,Homebuilders,"Reston, Va.",http://www.nvrinc.com,9,http://fortune.com/fortune500/nvr/
445,Rockwell Automation,ROK,442,"$6,311",7.3%,$825.7,13.2%,"$7,162","$22,260","22,000",Blake D. Moret,"Chairman, President & Chief Executive Officer",Industrials,"Electronics, Electrical Equip.",Milwaukee,http://www.rockwellautomation.com,24,http://fortune.com/fortune500/rockwell-automation/
446,TreeHouse Foods,THS,427,"$6,307",2.1%,$-286.2,,"$5,779","$2,159","13,489",Steven Oakland,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Food Consumer Products,"Oak Brook, Ill.",http://www.treehousefoods.com,2,http://fortune.com/fortune500/treehouse-foods/
447,Wynn Resorts,WYNN,548,"$6,306",41.2%,$747.2,208.8%,"$12,682","$19,778","25,200",Matthew O. Maddox,"President, Chief Executive Officer & Director","Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Las Vegas,http://www.wynnresorts.com,5,http://fortune.com/fortune500/wynn-resorts/
448,Olin,OLN,467,"$6,268",12.9%,$549.5,,"$9,218","$5,081","6,400",John E. Fischer,"Chairman, President & Chief Executive Officer",Chemicals,Chemicals,"Clayton, Mo.",http://www.olin.com,5,http://fortune.com/fortune500/olin/
449,American Axle & Manufacturing,AXL,593,"$6,266",58.7%,$337.1,40.0%,"$7,883","$1,699","25,000",David C. Dauch,Chairman & Chief Executive Officer,Motor Vehicles & Parts,Motor Vehicles and Parts,Detroit,http://www.aam.com,4,http://fortune.com/fortune500/american-axle-manufacturing/
450,Old Republic International,ORI,439,"$6,263",6.1%,$560.5,20.0%,"$19,404","$5,778","8,700",Aldo C. Zucaro,Chairman & Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),Chicago,http://www.oldrepublic.com,7,http://fortune.com/fortune500/old-republic-international/
451,Chemours,CC,482,"$6,183",14.5%,$746.0,"10,557.1%","$7,293","$8,840","7,000",Mark P. Vergnano,"President, Chief Executive Officer & Director",Chemicals,Chemicals,"Wilmington, Del.",http://www.chemours.com,2,http://fortune.com/fortune500/chemours/
452,iHeartMedia,IHRTQ,426,"$6,178",-1.5%,$-704.4,,"$12,257",$39,"18,700",Robert W. Pittman,Chairman & Chief Executive Officer,Media,Entertainment,San Antonio,http://www.iheartmedia.com,18,http://fortune.com/fortune500/iheartmedia/
453,Ameren,AEE,431,"$6,177",1.7%,$523.0,-19.9%,"$25,945","$13,740","8,615",Warner L. Baxter,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,St. Louis,http://www.ameren.com,21,http://fortune.com/fortune500/ameren/
454,Arthur J. Gallagher,AJG,462,"$6,160",10.1%,$463.1,11.8%,"$12,897","$12,512","26,783",J. Patrick Gallagher Jr.,"Chairman, President & Chief Executive Officer",Financials,Diversified Financials,"Rolling Meadows, Ill.",http://www.ajg.com,3,http://fortune.com/fortune500/arthur-j-gallagher/
455,Celanese,CE,484,"$6,140",13.9%,$843.0,-6.3%,"$9,538","$13,611","7,592",Mark C. Rohr,"Chairman, President & Chief Executive Officer",Chemicals,Chemicals,"Irving, Texas",http://www.celanese.com,13,http://fortune.com/fortune500/celanese/
456,Sealed Air,SEE,397,"$6,131",-9.6%,$814.9,67.5%,"$5,280","$7,162","15,000",Edward L. Doheny II,"President, Chief Executive Officer & Director",Materials,"Packaging, Containers","Charlotte, N.C.",http://www.sealedair.com,21,http://fortune.com/fortune500/sealed-air/
457,UGI,UGI,457,"$6,121",7.7%,$436.6,19.7%,"$11,582","$7,685","13,000",John L. Walsh,"President, Chief Executive Officer & Director",Energy,Energy,"King of Prussia, Pa.",http://www.ugicorp.com,14,http://fortune.com/fortune500/ugi/
458,Realogy Holdings,RLGY,448,"$6,114",5.2%,$431.0,102.3%,"$7,337","$3,568","11,800",Ryan M. Schneider,"President, Chief Executive Officer & Director",Financials,Real estate,"Madison, N.J.",http://www.realogy.com,8,http://fortune.com/fortune500/realogy-holdings/
459,Burlington Stores,BURL,463,"$6,110",9.3%,$384.9,78.3%,"$2,813","$9,018","40,000",Thomas A. Kingsbury,"Chairman, President & Chief Executive Officer",Retailing,Specialty Retailers: Apparel,"Burlington, N.J.",http://www.burlington.com,3,http://fortune.com/fortune500/burlington-stores/
460,Regions Financial,RF,436,"$6,093",2.1%,"$1,263.0",8.6%,"$124,294","$20,861","21,714",O.B. Grayson Hall Jr.,Chairman & Chief Executive Officer,Financials,Commercial Banks,"Birmingham, Ala.",http://www.regions.com,20,http://fortune.com/fortune500/regions-financial/
461,AK Steel Holding,AKS,441,"$6,081",3.4%,$6.2,,"$4,296","$1,428","9,200",Roger K. Newport,Chairman & Chief Executive Officer,Materials,Metals,"West Chester, Ohio",http://www.aksteel.com,18,http://fortune.com/fortune500/ak-steel-holding/
462,Securian Financial Group,,532,"$6,067",27.0%,$418.9,68.7%,"$51,232",,"5,000",Christopher M. Hilger,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (stock)","St. Paul, Minn.",http://www.securian.com,1,http://fortune.com/fortune500/securian-financial-group/
463,S&P Global,SPGI,459,"$6,063",7.1%,"$1,496.0",-29.0%,"$9,425","$47,643","20,400",Douglas L. Peterson,"President, Chief Executive Officer & Director",Business Services,Financial Data Services,New York City,http://www.spglobal.com,24,http://fortune.com/fortune500/sp-global/
464,Markel,MKL,460,"$6,062",8.0%,$395.3,-13.3%,"$32,805","$16,264","15,600",Thomas S. Gayner/Richard R. Whitt III,Co-Chief Executive Officer & Director,Financials,Insurance: Property and Casualty (Stock),"Glen Allen, Va.",http://www.markelcorp.com,3,http://fortune.com/fortune500/markel/
465,TravelCenters of America,TA,470,"$6,052",9.8%,$9.3,,"$1,618",$144,"19,611",Andrew J. Rebholz,Chief Executive Officer & Director,Retailing,Specialty Retailers: Other,"Westlake, Ohio",http://www.ta-petro.com,11,http://fortune.com/fortune500/travelcenters-of-america/
466,Conduent,CNDT,,"$6,022",,$181.0,,"$7,548","$3,923","90,000",Ashok Vemuri,Chairman & Chief Executive Officer,Business Services,Diversified Outsourcing Services,"Florham Park, N.J.",http://www.conduent.com,1,http://fortune.com/fortune500/conduent/
467,M&T Bank Corp.,MTB,455,"$6,019",5.2%,"$1,408.3",7.1%,"$118,594","$27,379","16,354",Rene F. Jones,Chairman & Chief Executive Officer,Financials,Commercial Banks,"Buffalo, N.Y.",http://www.mtb.com,3,http://fortune.com/fortune500/mt-bank-corp/
468,Clorox,CLX,453,"$5,973",3.7%,$701.0,8.2%,"$4,573","$17,225","8,100",Benno O. Dorer,Chairman & Chief Executive Officer,Household Products,Household and Personal Products,"Oakland, Calif.",http://www.thecloroxcompany.com,19,http://fortune.com/fortune500/clorox/
469,AmTrust Financial Services,AFSI,475,"$5,959",9.3%,$-348.9,-184.9%,"$25,219","$2,416","9,300",Barry D. Zyskind,"Chairman, President & Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),New York City,http://www.amtrustfinancial.com,2,http://fortune.com/fortune500/amtrust-financial-services/
470,KKR,KKR,656,"$5,930",71.4%,"$1,018.3",229.2%,"$45,835","$9,882","1,184",Henry R. Kravis/George R. Roberts,Co-Chairman & Co-Chief Executive Officer,Financials,Securities,New York City,http://www.kkr.com,6,http://fortune.com/fortune500/kkr/
471,Ulta Beauty,ULTA,524,"$5,885",21.2%,$555.2,35.5%,"$2,909","$12,459","24,200",Mary N. Dillon,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Other,"Bolingbrook, Ill.",http://www.ulta.com,1,http://fortune.com/fortune500/ulta-beauty/
472,Yum Brands,YUM,422,"$5,878",-7.7%,"$1,340.0",-17.2%,"$5,311","$28,307","60,000",Greg Creed,Chief Executive Officer & Director,"Hotels, Restaurants & Leisure",Food Services,"Louisville, Ky.",http://www.yum.com,20,http://fortune.com/fortune500/yum-brands/
473,Regeneron Pharmaceuticals,REGN,523,"$5,872",20.8%,"$1,198.5",33.8%,"$8,764","$37,087","6,200",Leonard S. Schleifer,"President, Chief Executive Officer & Director",Health Care,Pharmaceuticals,"Tarrytown, N.Y.",http://www.regeneron.com,1,http://fortune.com/fortune500/regeneron-pharmaceuticals/
474,Windstream Holdings,WIN,485,"$5,853",8.6%,"$-2,116.6",,"$11,084",$289,"12,979",Anthony W. Thomas,"President, Chief Executive Officer & Director",Telecommunications,Telecommunications,"Little Rock, Ark.",http://www.windstream.com,6,http://fortune.com/fortune500/windstream-holdings/
475,Magellan Health,MGLN,526,"$5,838",20.7%,$110.2,41.5%,"$2,957","$2,605","10,700",Barry M. Smith,Chairman & Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,"Scottsdale, Ariz.",http://www.magellanhealth.com,1,http://fortune.com/fortune500/magellan-health/
476,Western & Southern Financial,,483,"$5,836",8.1%,$310.4,28.7%,"$46,395",,"2,226",John F. Barrett,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (Mutual)",Cincinnati,http://www.westernsouthern.com,14,http://fortune.com/fortune500/western-southern-financial/
477,Intercontinental Exchange,ICE,437,"$5,834",-2.1%,"$2,514.0",76.8%,"$78,264","$42,132","4,952",Jeffrey C. Sprecher,Chairman & Chief Executive Officer,Financials,Securities,Atlanta,http://www.theice.com,2,http://fortune.com/fortune500/intercontinental-exchange/
478,Ingredion,INGR,456,"$5,832",2.3%,$519.0,7.0%,"$6,080","$9,313","11,000",James P. Zallie,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Food Production,"Westchester, Ill.",http://www.ingredion.com,7,http://fortune.com/fortune500/ingredion/
479,Wyndham Destinations,WYN,461,"$5,821",4.0%,$871.0,42.6%,"$10,403","$11,411","39,200",Michael D. Brown,Chairman & Chief Executive Officer,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Parsippany, N.J.",http://www.wyndhamdestinations.com,5,http://fortune.com/fortune500/wyndham-worldwide/
480,Toll Brothers,TOL,497,"$5,815",12.5%,$535.5,40.1%,"$9,445","$6,566","4,500",Douglas C. Yearley Jr.,Chairman & Chief Executive Officer,Engineering & Construction,Homebuilders,"Horsham, Pa.",http://www.tollbrothers.com,6,http://fortune.com/fortune500/toll-brothers/
481,Seaboard,SEB,486,"$5,809",8.0%,$247.0,-20.8%,"$5,161","$4,992","11,800",Steven J. Bresky,"Chairman, President & Chief Executive Officer","Food, Beverages & Tobacco",Food Production,"Merriam, Kans.",http://www.seaboardcorp.com,8,http://fortune.com/fortune500/seaboard/
482,Booz Allen Hamilton,BAH,481,"$5,804",7.4%,$252.5,-14.1%,"$3,373","$5,617","23,300",Horacio D. Rozanski,"President, Chief Executive Officer & Director",Technology,Information Technology Services,"McLean, Va.",http://www.boozallen.com,8,http://fortune.com/fortune500/booz-allen-hamilton/
483,First American Financial,FAF,464,"$5,772",3.5%,$423.0,23.3%,"$9,573","$6,511","18,705",Dennis J. Gilmore,Chairman & Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),"Santa Ana, Calif.",http://www.firstam.com,4,http://fortune.com/fortune500/first-american-financial/
484,Cincinnati Financial,CINF,476,"$5,732",5.2%,"$1,045.0",76.9%,"$21,843","$12,185","4,925",Steven J. Johnston,"President, Chief Executive Officer & Director",Financials,Insurance: Property and Casualty (Stock),"Fairfield, Ohio",http://www.cinfin.com,4,http://fortune.com/fortune500/cincinnati-financial/
485,Avon Products,AVP,444,"$5,716",-2.3%,$22.0,,"$3,698","$1,251","25,000",Jan Zijderveld,Chairman & Chief Executive Officer,Household Products,Household and Personal Products,"Rye, N.Y.",http://www.avoninvestor.com,24,http://fortune.com/fortune500/avon-products/
486,Northern Trust,NTRS,501,"$5,716",11.1%,"$1,199.0",16.1%,"$138,591","$23,264","18,100",Michael G. O'Grady,"President, Chief Executive Officer & Director",Financials,Commercial Banks,Chicago,http://www.northerntrust.com,7,http://fortune.com/fortune500/northern-trust/
487,Fiserv,FISV,471,"$5,696",3.5%,"$1,246.0",34.0%,"$10,289","$29,466","24,000",Jeffery W. Yabuki,"President, Chief Executive Officer & Director",Business Services,Financial Data Services,"Brookfield, Wis.",http://www.fiserv.com,8,http://fortune.com/fortune500/fiserv/
488,Harley-Davidson,HOG,435,"$5,647",-5.8%,$521.8,-24.6%,"$9,973","$7,198","5,800",Matthew S. Levatich,"President, Chief Executive Officer & Director",Transportation,Transportation Equipment,Milwaukee,http://www.harley-davidson.com,17,http://fortune.com/fortune500/harley-davidson/
489,Cheniere Energy,LNG,,"$5,601",336.5%,$-393.0,,"$27,906","$12,703","1,230",Jack A. Fusco,"President, Chief Executive Officer & Director",Energy,Energy,Houston,http://www.cheniere.com,1,http://fortune.com/fortune500/cheniere-energy/
490,Patterson,PDCO,466,"$5,593",0.7%,$170.9,-8.7%,"$3,508","$2,104","7,500",Mark S. Walchirk,"President, Chief Executive Officer & Director",Wholesalers,Wholesalers: Health Care,"St. Paul, Minn.",http://www.pattersoncompanies.com,2,http://fortune.com/fortune500/patterson/
491,Peabody Energy,BTU,533,"$5,579",18.3%,-,,"$8,181","$4,649","7,100",Glenn L. Kellow,"President, Chief Executive Officer & Director",Energy,"Mining, Crude-Oil Production",St. Louis,http://www.peabodyenergy.com,13,http://fortune.com/fortune500/peabody-energy/
492,ON Semiconductor,ON,598,"$5,543",41.9%,$810.7,345.2%,"$7,195","$10,406","34,000",Keith D. Jackson,"President, Chief Executive Officer & Director",Technology,Semiconductors and Other Electronic Components,Phoenix,http://www.onsemi.com,1,http://fortune.com/fortune500/on-semiconductor/
493,Simon Property Group,SPG,477,"$5,539",1.9%,"$1,948.0",5.9%,"$32,258","$47,861","4,150",David E. Simon,Chairman & Chief Executive Officer,Financials,Real estate,Indianapolis,http://www.simon.com,5,http://fortune.com/fortune500/simon-property-group/
494,Western Union,WU,478,"$5,524",1.9%,$-557.1,-320.0%,"$9,231","$8,857","11,500",Hikmet Ersek,"President, Chief Executive Officer & Director",Business Services,Financial Data Services,"Englewood, Colo.",http://www.westernunion.com,12,http://fortune.com/fortune500/western-union/
495,NetApp,NTAP,468,"$5,519",-0.5%,$509.0,122.3%,"$9,493","$16,528","10,100",George Kurian,"President, Chief Executive Officer & Director",Technology,"Computers, Office Equipment","Sunnyvale, Calif.",http://www.netapp.com,7,http://fortune.com/fortune500/netapp/
496,Polaris Industries,PII,537,"$5,505",19.8%,$172.5,-19.0%,"$3,090","$7,224","11,000",Scott W. Wine,Chairman & Chief Executive Officer,Transportation,Transportation Equipment,"Medina, Minn.",http://www.polaris.com,1,http://fortune.com/fortune500/polaris-industries/
497,Pioneer Natural Resources,PXD,606,"$5,455",42.7%,$833.0,,"$17,003","$29,254","3,836",Timothy L. Dove,"President, Chief Executive Officer & Director",Energy,"Mining, Crude-Oil Production","Irving, Texas",http://www.pxd.com,2,http://fortune.com/fortune500/pioneer-natural-resources/
498,ABM Industries,ABM,500,"$5,454",6.0%,$3.8,-93.4%,"$3,813","$2,200","140,000",Scott B. Salmirs,"President, Chief Executive Officer & Director",Business Services,Diversified Outsourcing Services,New York City,http://www.abm.com,3,http://fortune.com/fortune500/abm-industries/
499,Vistra Energy,VST,499,"$5,430",5.2%,$-254.0,,"$14,600","$8,925","4,150",Curtis A. Morgan,"President, Chief Executive Officer & Director",Energy,Energy,"Irving, Texas",http://www.vistraenergy.com,2,http://fortune.com/fortune500/vistra-energy/
500,Cintas,CTAS,520,"$5,429",10.7%,$480.7,-30.7%,"$6,844","$18,165","42,000",Scott D. Farmer,Chairman & Chief Executive Officer,Business Services,Diversified Outsourcing Services,Cincinnati,http://www.cintas.com,1,http://fortune.com/fortune500/cintas/
,,,,,,,,,,,,,,,,,,
,Download the complete Fortune 1000 list to see all 1000 companies,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,https://www.databahn.com/products/2018-fortune-1000-list-free-excel-spreadsheet-list-download,,,,,,,,,,,,,,,,,
