Fortune  Rank (2018),Company Name,Ticker Symbol,Fortune Rank (2017),Revenues,Revenues change,Profits,Profit Change,Assets,Market Value,Employee Count,CEO Name,CEO Title,Sector,Industry,HQ Location,Website URL,Years on Fortune List,Fortune URL
280,MGM Resorts International,MGM,297,"$10,774",13.9%,"$1,960.3",78.0%,"$29,159","$19,844","68,500",James J. Murren,Chairman & Chief Executive Officer,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Las Vegas,http://www.mgmresorts.com,18,http://fortune.com/fortune500/mgm-resorts-international/
281,Office Depot,ODP,203,"$10,752",-20.9%,$181.0,-65.8%,"$6,323","$1,195","45,000",Gerry P. Smith,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Other,"Boca Raton, Fla.",http://www.officedepot.com,24,http://fortune.com/fortune500/office-depot/
282,Huntsman,HUN,289,"$10,592",9.7%,$636.0,95.1%,"$10,244","$7,090","10,000",Peter R. Huntsman,"Chairman, President & Chief Executive Officer",Chemicals,Chemicals,"The Woodlands, Texas",http://www.huntsman.com,13,http://fortune.com/fortune500/huntsman/
283,Baxter International,BAX,281,"$10,561",3.9%,$717.0,-85.6%,"$17,111","$34,979","47,000",Jose E. Almeida,"Chairman, President & Chief Executive Officer",Health Care,Medical Products and Equipment,"Deerfield, Ill.",http://www.baxter.com,24,http://fortune.com/fortune500/baxter-international/
284,Norfolk Southern,NSC,284,"$10,551",6.7%,"$5,404.0",224.0%,"$35,711","$41,226","27,110",James A. Squires,"Chairman, President & Chief Executive Officer",Transportation,Railroads,"Norfolk, Va.",http://www.norfolksouthern.com,24,http://fortune.com/fortune500/norfolk-southern/
285,salesforce.com,CRM,326,"$10,480",24.9%,$127.5,-29.0%,"$21,010","$85,074","29,000",Marc R. Benioff,Chairman & Chief Executive Officer,Technology,Computer Software,San Francisco,http://www.salesforce.com,4,http://fortune.com/fortune500/salesforce-com/
286,Laboratory Corp. of America,LH,290,"$10,441",8.3%,"$1,268.2",73.2%,"$16,568","$16,482","60,000",David P. King,"Chairman, President & Chief Executive Officer",Health Care,Health Care: Pharmacy and Other Services,"Burlington, N.C.",http://www.labcorp.com,9,http://fortune.com/fortune500/laboratory-corp-of-america/
287,W.W. Grainger,GWW,282,"$10,425",2.8%,$585.7,-3.3%,"$5,804","$15,823","25,050",Donald G. MacPherson,Chairman & Chief Executive Officer,Wholesalers,Wholesalers: Diversified,"Lake Forest, Ill.",http://www.grainger.com,24,http://fortune.com/fortune500/w-w-grainger/
288,Qurate Retail,QRTEA,269,"$10,404",-2.3%,"$2,441.0",97.7%,"$24,122","$12,587","28,255",Gregory B. Maffei,Chairman,Retailing,Internet Services and Retailing,"Englewood, Colo.",http://www.libertyinteractive.com,14,http://fortune.com/fortune500/qurate-retail/
289,Autoliv,ALV,283,"$10,383",3.1%,$427.1,-24.7%,"$8,550","$12,710","67,352",Jan Carlson,"Chairman, President & Chief Executive Officer",Motor Vehicles & Parts,Motor Vehicles and Parts,"Auburn Hills, Mich.",http://www.autoliv.com,20,http://fortune.com/fortune500/autoliv/
290,Live Nation Entertainment,LYV,330,"$10,337",23.7%,$-6.0,-304.5%,"$7,504","$8,772","15,050",Michael Rapino,"President, Chief Executive Officer & Director",Media,Entertainment,"Beverly Hills, Calif.",http://www.livenationentertainment.com,9,http://fortune.com/fortune500/live-nation-entertainment/
291,Xerox,XRX,162,"$10,265",-40.1%,$195.0,,"$15,946","$7,330","36,100",John Visentin,Chairman & Chief Executive Officer,Technology,"Computers, Office Equipment","Norwalk, Conn.",http://www.xerox.com,24,http://fortune.com/fortune500/xerox/
292,Leidos Holdings,LDOS,381,"$10,170",44.4%,$366.0,50.0%,"$8,990","$9,918","31,000",Roger A. Krone,Chairman & Chief Executive Officer,Technology,Information Technology Services,"Reston, Va.",http://www.leidos.com,18,http://fortune.com/fortune500/leidos-holdings/
293,Corning,GLW,298,"$10,116",7.7%,$-497.0,-113.5%,"$27,494","$23,677","46,200",Wendell P. Weeks,"Chairman, President & Chief Executive Officer",Industrials,"Electronics, Electrical Equip.","Corning, N.Y.",http://www.corning.com,23,http://fortune.com/fortune500/corning/
294,Lithia Motors,LAD,318,"$10,087",16.2%,$245.2,24.4%,"$4,683","$2,515","12,899",Bryan B. DeBoer,"President, Chief Executive Officer & Director",Retailing,"Automotive Retailing, Services","Medford, Ore.",http://www.lithiainvestorrelations.com,4,http://fortune.com/fortune500/lithia-motors/
295,Expedia Group,EXPE,317,"$10,060",14.7%,$378.0,34.1%,"$18,516","$16,764","22,615",Mark D. Okerstrom,"President, Chief Executive Officer & Director",Retailing,Internet Services and Retailing,"Bellevue, Wash.",http://www.expediagroup.com,4,http://fortune.com/fortune500/expedia-group/
296,Republic Services,RSG,299,"$10,042",7.0%,"$1,278.4",108.7%,"$21,147","$21,832","35,000",Donald W. Slager,"President, Chief Executive Officer & Director",Business Services,Waste Management,Phoenix,http://www.republicservices.com,9,http://fortune.com/fortune500/republic-services/
297,Jacobs Engineering Group,JEC,259,"$10,023",-8.6%,$293.7,39.6%,"$7,381","$8,380","49,750",Steven J. Demetriou,"Chairman, President & Chief Executive Officer",Engineering & Construction,"Engineering, Construction",Dallas,http://www.jacobs.com,18,http://fortune.com/fortune500/jacobs-engineering-group/
298,Sonic Automotive,SAH,287,"$9,867",1.4%,$93.0,-0.2%,"$3,819",$804,"9,750",B. Scott Smith,"President, Chief Executive Officer & Director",Retailing,"Automotive Retailing, Services","Charlotte, N.C.",http://www.sonicautomotive.com,19,http://fortune.com/fortune500/sonic-automotive/
299,Ally Financial,ALLY,286,"$9,866",0.3%,$929.0,-12.9%,"$167,148","$11,767","7,900",Jeffrey J. Brown,Chairman & Chief Executive Officer,Financials,Diversified Financials,Detroit,http://www.ally.com,11,http://fortune.com/fortune500/ally-financial/
300,LKQ,LKQ,304,"$9,848",8.4%,$533.7,15.0%,"$9,367","$11,750","43,000",Dominick P. Zarcone,"President, Chief Executive Officer & Director",Wholesalers,Wholesalers: Diversified,Chicago,http://www.lkqcorp.com,5,http://fortune.com/fortune500/lkq/
301,BorgWarner,BWA,305,"$9,799",8.0%,$439.9,271.2%,"$9,788","$10,586","29,000",James R. Verrier,"President, Chief Executive Officer & Director",Motor Vehicles & Parts,Motor Vehicles and Parts,"Auburn Hills, Mich.",http://www.borgwarner.com,12,http://fortune.com/fortune500/borgwarner/
302,Fidelity National Financial,FNF,293,"$9,769",2.3%,$771.0,18.6%,"$9,151","$10,983","24,525",Raymond R. Quirk,Chairman & Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),"Jacksonville, Fla.",http://www.fnf.com,11,http://fortune.com/fortune500/fidelity-national-financial/
303,SunTrust Banks,STI,303,"$9,741",6.3%,"$2,273.0",21.0%,"$205,962","$31,863","23,785",William H. Rogers Jr.,Chairman & Chief Executive Officer,Financials,Commercial Banks,Atlanta,http://www.suntrust.com,24,http://fortune.com/fortune500/suntrust-banks/
304,IQVIA Holdings,,390,"$9,739",41.6%,"$1,309.0","1,038.3%","$22,742","$20,433","55,000",Ari Bousbib,"Chairman, President & Chief Executive Officer",Health Care,Health Care: Pharmacy and Other Services,"Durham, N.C.",www.iqvia.com,5,http://fortune.com/fortune500/iqvia-holdings/
305,Reliance Steel & Aluminum,RS,320,"$9,721",12.9%,$613.4,101.6%,"$7,751","$6,244","14,900",Gregg J. Mollins,"President, Chief Executive Officer & Director",Materials,Metals,Los Angeles,http://www.rsac.com,12,http://fortune.com/fortune500/reliance-steel-aluminum/
